,iata_code,name
18223,YCY,Clyde River Airport
18224,YCZ,Fairmont Hot Springs Airport
18226,YDA,Dawson City Airport
18227,YDB,Burwash Airport
18229,YDF,Deer Lake Airport
18231,YDL,Dease Lake Airport
18232,XRR,Ross River Airport
18233,YDN,Dauphin Barker Airport
18234,YDO,Dolbeau St Felicien Airport
18235,YDP,Nain Airport
18236,YDQ,Dawson Creek Airport
18240,YEG,Edmonton International Airport
18241,YEK,Arviat Airport
18242,YEL,Elliot Lake Municipal Airport
18243,YEM,Manitoulin East Municipal Airport
18244,YEN,Estevan Airport
18245,YER,Fort Severn Airport
18247,YET,Edson Airport
18248,YEU,Eureka Airport
18249,YEV,Inuvik Mike Zubko Airport
18250,YEY,Amos/Magny Airport
18251,YFA,Fort Albany Airport
18252,YFB,Iqaluit Airport
18253,YFC,Fredericton Airport
18255,YFE,Forestville Airport
18256,YFH,Fort Hope Airport
18257,YTM,La Macaza / Mont-Tremblant International Inc Airport
18258,YFO,Flin Flon Airport
18259,YFR,Fort Resolution Airport
18260,YFS,Fort Simpson Airport
18261,YMN,Makkovik Airport
18262,YGB,Texada Gillies Bay Airport
18265,YGH,Fort Good Hope Airport
18266,YGK,Kingston Norman Rogers Airport
18267,YGL,La Grande Rivière Airport
18268,YGM,Gimli Industrial Park Airport
18269,YGO,Gods Lake Narrows Airport
18270,YGP,Gaspé (Michel-Pouliot) Airport
18271,YGQ,Geraldton Greenstone Regional Airport
18272,YGR,Îles-de-la-Madeleine Airport
18273,YGT,Igloolik Airport
18274,YGV,Havre-Saint-Pierre Airport
18275,YGW,Kuujjuarapik Airport
18276,YGX,Gillam Airport
18277,YGZ,Grise Fiord Airport
18278,YQC,Quaqtaq Airport
18279,YHB,Hudson Bay Airport
18280,CXH,Vancouver Harbour Water Aerodrome
